國家/地區別,總計(千美元),1.活動物；動物產品(千美元),2.植物產品(千美元),3.動植物油脂(千美元),4.調製食品；飲料及菸酒(千美元),5.礦產品(千美元),6.化學品(千美元),7.塑膠、橡膠及其製品(千美元),8.毛皮及其製品(千美元),9.木及木製品(千美元),10.紙漿；紙及其製品；印刷品(千美元),11.紡織品(千美元),12.鞋、帽及其他飾品(千美元),13.非金屬礦物製品(千美元),14.珠寶及貴金屬製品(千美元),15.基本金屬及其製品(千美元),16.機械及電機設備(千美元),17.運輸工具(千美元),18.光學及精密儀器；鐘錶；樂器(千美元),19.其他(千美元)
97年 10月,2577637,13789,5386,1000,9292,37197,62577,157506,3745,3821,9840,88670,8477,15939,12775,401993,1330250,188617,88811,137953
97年 11月,2387028,12795,4916,736,11833,46647,42090,137250,3818,3113,9343,72666,7735,12621,7396,337862,1291211,179799,76607,128592
97年 12月,2178946,10754,2793,828,11303,23064,44563,115860,3469,2934,8909,77904,7845,12695,5854,348022,1103423,216472,71281,110974
98年,23619884,142081,52878,11312,138461,514320,551625,1315685,38764,30889,102340,846756,78039,168987,102442,2734126,12739472,2003568,788662,1259477
98年 1月,1950364,11701,3999,528,7434,22302,41804,97764,3665,2615,6977,81749,6641,10355,5653,259825,1028119,189839,68547,100848
98年 2月,1540560,11209,3483,475,7830,22568,52110,77735,2297,1922,6728,51912,3591,9445,5749,168568,848624,152887,45820,67607
98年 3月,2051414,11884,3770,934,12997,61384,47947,114302,3633,2545,9854,74271,6253,15325,5144,245027,1070618,201066,60997,103463
98年 4月,1791659,9957,4254,1169,12230,28013,35269,96729,2632,2875,9316,63648,4654,13522,7718,203525,981486,161316,60512,92833
98年 5月,1855855,10603,4671,931,12814,20215,43523,107148,2926,2205,9990,63575,6330,13308,5758,204724,1017622,167056,65796,96658
98年 6月,1871560,11409,3948,948,11950,51022,39693,109144,4006,2362,9999,72906,7638,13156,9632,212388,1002905,148237,62861,97356
98年 7月,1965966,11836,5669,984,12955,61869,39029,116151,3725,2896,8219,81828,7965,16559,16778,223733,1013854,170456,63175,108286
98年 8月,1945761,11782,4179,1065,12012,75696,37989,112498,3151,2639,7123,79207,8098,14355,11700,216797,1001758,171465,66416,107833
98年 9月,1983098,16038,4268,970,12320,51615,53207,122561,3435,2782,9319,75697,8371,16472,6101,242133,1006439,167304,63444,120624
98年 10月,2150961,12303,4142,546,10644,30272,56792,119125,2929,2614,7846,69452,6499,15341,8745,247649,1208363,160292,70270,117135
